Stars,clean_text_train
5,bag good design would better pocket inside otherwise stitching good everything good bag sturdy nice
5,bag good carry quality also fine quality good
5,worthy money superb product
5,worth every penny happy product good quality product
5,waste money quality bad quality not good
5,value money long durability good product
5,best bag like would also recommend best bag recommend
5,best backpack not think drawback compartment laptop wise good product valuable
5,good expected good expected
5,excellent product useful purchase
5,quite big light weight material used also quite nice nice product
5,nice bag son loved good product
5,fully satisfied product good delivery easy payment done thanks amazon value money
5,good quality also space quality
5,like product nice nice
5,nice nice
5,bought many year ago browsing amazon order review bag year graduation still good condition travelled many place bag laptop accessory also cloth found ultra durable bought around along skybag brother still brother abandoned bag bag not even store book showes many problem not bag emotion worth every rupee
5,good bag look good packing good good bag ikep week trip luggage bag lit big
5,worth money good quality received good condition worth money
5,quality nice bag
5,spacious bag value money product
5,good product
5,daily driving backpack made age range teenager adult carry heavier book plenty space strap comfortable laptop compartment would nicer though definitely not buy white variant get dirty easily harder clean daily driver
5,excellent excellent
5,absolutely loved using bag since still amazing comfortable perfect size school college student condition also good best bag school college student
5,good product good product
5,not found disadvantage backpack everything good useful good one
5,fine quality price good condition overall appearance look fine good product value money
5,excellent excellent
5,backpack excellent liked also not rain cover hence return excellent product rain cover
5,everything perfect function ease product amazing quality amazing function
5,big nice colour zip quality everything good son using damage good product happy
5,value money good quality material value money
5,like product well brand nice product
5,superb good
5,good bag
5,comfortable comfort
5,good using college good
5,nice bag american tourister amazing
5,use school nice bag school
5,like good product
5,usefull nice
5,bag look good zipper also good using look nice quality seems good
5,spacious comfortable strap water proof wonderful bag
5,best bag le price worth buy
5,good school bag kid light weight wao
5,daily usage bag use rough tough issue till year good durable
5,great bad good stitching lightweight good color spacious love great quality light
5,comfortable cloth material
5,using week damn comfortable must buy good quality comfortable
5,nice quality value money compartment available big compartment accessory compartment height length bag good school student suitable std student bought child studying std cbse full fill need surely nice bag compartment available
5,nice good
5,good good
5,like colour design bag bigger space put essential item comfortable also outer material made polyester water resistant not waterproof little disappointment overall worth price worth
5,excellent quality good product
5,useful daily use expected nice looking colour nice backpack
5,pro chain made metal water proof light wait compartment corn not place keep lunch box like shown picture
5,good product price amazon also gave inr cash back thanks amazon value money
5,excellant excellent product
5,excellent excellent
5,excellent product sent amazon good quality backpack thanks amazon excellent product excellent service
5,using till exactly best backpack
5,nice product good quality not laptop sleeve rain cover not laptop sleeve
5,quality space product great bag quality space brand price awesome
5,child using school like bag good brand
5,like heavy weight comfortable best quality
5,bigger nice space travelling stylish
5,bought mansoon wanted waterproof product keep book stuff safe pro quality good not best stitch strong use weight advice worry year sure average use back sheet soft net give breathing effect back use backpack not heavy stuff con waterproofing not best not use heavy rain back side not much breathable pocket different stuff not given not backpack people use school college price little higher affordable get caught offer certainly brand name quality
5,best nice
5,nice nice
5,lightweight caaryy weight done review youtube channel plaes find timeless gadget check backpack every need
5,awesome product product light weight color delight white blue color look stunning recommend awesome product
5,brand quiet satisfied fit finish product ordered two bag gift one also liked bag spacious designed compartment quiet satisfying product
5,huge space necessary item way clothing electronics fit everything must traveling enthusiast good compact traveller
5,not proper packing environment sending plastic bag saving crore rupee not informing customer move way not allowing benefit taken
5,good size bag made great material great quality
5,nice bag school office use best quality value money
5,quality good good
5,bottle holer would bigger bottle would not fall overall bag gorgeous chain smooth open compartment bigger size bag quality amazing bag comfortable travelling buy bag bag value money
5,value money best quality value money
4,overall good product using last month without issue good product
4,good product easy use package good recommend buy one think not like le space still buy bag review
4,value money good quality
4,good value money
4,bag decent zip bit low quality pocket not much space bottle holder started tear week look alright comfortable enough daily use though decent cost
4,spacious given price range quality also good look descent standard unlike brand budget best category
4,like good product
4,nice product nice
4,good quality given price material quality good
4,nice product nice product
4,good look comfortable
4,play video not bad price good quality good quality bag
4,nice bag price range check size body type good quality
4,good bag excellent
4,rain coat cover mentioned product image rain cover
4,school good product
4,good product material good product
4,perfect school college student
4,good product price good product price
4,nice beg good
4,good quality product product
4,useful everyone comfortable good one
4,everything good price much according size back pack
4,good good
4,comfort food quality good seems durable product nice want little bit smaller height
4,good material good product
4,white colour bag good print outside vanishes regular use opinion one opt black one opt black colour
4,product lightweight water resistant plenty pocket product material definitely good issue got blue white bag day use white material starting come getting dirty worst dirty part could not cleaned soap alcohol sanitizer anything else however definitely look cool good except one
4,great bag nice
4,nice bag nice
4,bag good laptop pocket laptop pocket
4,satisfied product delivery timing good
4,use day bottel pocket got cut bottle pocket
4,good bag bag review
4,water resistant material classic backpack
4,like best
4,good back get easily damaged soon bag
4,stitch solid premium weight le good
4,quality bag good rate bag american tourister backpack
4,
4,overall good good
4,bag okay light weight rain cover provide light weight
4,nice comfortable good student
4,good one nice
4,like product good quality
4,great quality
4,image show bag rain cover not rain cover rain cover
4,good good
4,side bottle cary burst one month bad
4,fancy look high strength big size look strength bag also size space provided
4,durable good looking good bag value money
4,good quality product raincover falsely not included great bag worth price nice durable
4,good college laptop good product
4,hope work well long look good quite lightweight delivered time hope withstand weight dozen text note book update review use bought gift child
4,play video like capacity bag good travelling one minus laptop sleeve good bag
4,nice bag value money spaceable good quality class light weight
4,birthday gift really happy product
4,quality worth value must buy school travel day nice product
4,use daily use office spacious backpack good quality good quality spacious good packing
4,quality not expected american tourister quality
4,using two year say quility product good always clean two week sraps getting dirty black varient bag orange bag common college saw people bag orange colour not suit boy
4,good quality product student verified purchase
4,good product nice product
4,nice look prize high nice
4,worth buying good
4,good product good product
4,nice
4,spacious
4,still using year still using year
4,good obviously repudiated brand
4,good college quality look good good nice look
4,great bag tour good backpack
4,bag good pocket not good nice bag within month pocket torn
4,overall good delivered nicely good
4,quality nice size also good look kind durable overall much satisfied product satisfied
4,quality product pretty good amazing backpack segment
4,price high travel good
4,light weight bag used school bag got good bag
4,worth worth
4,one standout feature backpack vibrant red color add touch style personality everyday look backpack made material feel durable sturdy ensuring withstand rigor daily use extremely lightweight
4,good quality like good
4,good design cautious dust color bag make prone dirty good design easily become dirty
4,value money quality product
4,good quality value money
4,top notch quality little bit congested lunch box otherwise good honest not big not small perfect college student
4,nice product nice looking bag good quality
4,good
4,lightweight comfort smooth material value money
4,good product
4,best quality nice
4,best quality weightless bag overall rating value money worth buying quality
4,bag good quality light weight big looking buy junior primary kid smaller option bag good size big kid suitable primary kid
4,fulfills requirement although look wise utility aspect
4,nice one worth price nice one
4,water resistance capability not good word say not waterproof bag travelling good choice extremely lightweight padded strap total weight thing put inside reduced tgr capacity holding thing even think ideal choice use purpose whether school college going may purpose ideal bag purpose use
4,spacious quality wise seems fine day using issue till disappointed delivery though product delivered like outside locked door despite giving instruction drop package security office star product minus due irresponsible delivery per description
4,best good
4,nice material
4,good product expected nic product
4,value purchase satisfied
3,copy look like use daily month use demage normal product
3,product made thin material not durable quality
3,worth quality not mark style good product quality
3,nice quality month front white color gone not wash bag time month super quality
3,think not original quality not good not value pay
3,item purchased expecting good american tourister quality bag light weight spacious flimsy not provide back support bag not purchased laptop bag not sure last long extended usage poor quality
3,mesh pocket bag get torn within one year usually used bag class torn within one year
3,found useful quality also good side mesh pocket real bad quality got torned within month usage mesh material could better bad serf job well
3,not bad
3,average quality product single zip per every compartment zip runner single cost saving bad feature brand average quality product
3,bag got fine rain cover provided bag seems fine rain cover missing
3,not get rain bag cover not get rain bag cover
3,separate compartment laptop good travel
3,material not good quite spacious month use look quite old okay
3,good large overall best good
3,school bag big compartment
3,side pocket torn apart use water bottle not satisfied
3,okay one photo look better product
3,material used thin much space expected not know much weight handled color padding also not expected level overall worth average quality
3,like bag nice bag
3,looking not good vagrancy
3,decent backpack bur not side reinforcement band size use school bag weight bad back retrun american tourister sure not committed cost saving usa luggage band make mistake
3,bag large size not comfortable daily travelling large size not suitable daily commuting
3,non water proof not durable rainy season average
3,material bag like cheap plastic elastic bottle holder get loose real fast last two pocket barely useable cheap material
3,not value money good
3,good good
3,good bag original american tourister good net clean condition package not good delivery man not good
3,dislike rain bag cover not bag rain bag cover not bag
3,design bag torn month bag waterproof best us design torn
3,play video use side pocket quality not good
3,material vert thin delicate not sturdy infact net side pocket got torn within day quality compromised
3,bag quality poor bag side protection laptop kept bag ground bag laptop direct hit ground bag quality
3,not bad not bad
3,quality best good product
3,quality material poor not come padded laptop compartment critical protection plastic top poor quality not worth buy
3,like bag lot space keep book notebook thing quality bottle holder bad tore even le month disappointed not keep lunch box not separate section quality bottle holder bad
3,not feel like original product
3,material lightweight good quality thin back side padded laptop compartment raincover pocket multipurpose pocket bag good school travel activity
3,value money not bad
3,bag came without rain bag cover mentioned insufficient accessory
3,thought whole bag would waterproof although covering zip still not fully covering front back area not waterproof expected
3,good strorege available best daily use
3,quality not good look wise good quality
3,material not good showed bag cover not provided not american tourister bag
3,le feature thin material separate key holder convenient use carry maximum dress small accessory le feature
3,internal material quality poor rough use material
3,separate compartment laptop light material used special pocket rain cover not satisfactory
3,good good
3,bag good capacity good travelling take even school good tear one month two month request not product choose another product please not buy product event going buy take careful like travelling not take school said not take district school take school get automatically tear four month aur month product please travelling buy not take school bag good
3,decent bsd
3,design quality colour not expected design colour not expected
3,purchased bag based rating review not happy product quality material used thin compared bag home quality not good
3,average product average
3,
3,value money value money
3,product good white colour not good type beg product good white colour not good type beg
3,picture actual product received slightly different term colour quality seems pretty normal not great price ifact front part look similar raxine image real product slightly different
3,material like plastic space nice quality not good
3,front chain chain hook close chain completely every compartment also opening make thing falling material also look glossy not premium one not upto mark
3,quality bag not good light not suitable professional use low quality bag
3,not sure outline inner stitch not great need even sturdy
3,quality good one black spot carrybag use delivery used box would good delivery packaging not good
3,bad quality not met expectation
3,abhi return payment not come case skte june return abhi received kyun hua hua esi seva rahi sabhi amazon vishwash nhi rahegaoverall product good lightweight good design quality not good expected american tourist bottle holder also big bag suitable thanks amazon design lightweight
3,written contains bag cover bag cover not bag cover
3,not laptop office use school bag best kid
3,bag not separate compartment laptop thing bugging not separate compartment laptop
3,not good decent bag made china good quality month front layer paint started damage not good school
3,good looking bag light weight
3,bag good space enough take post one time
3,play video second time using brand inside qualify low low quality inside damage
3,flimsy flimsy
3,bag not wanted returned buy another one better one good part buying returning process amazon fastest reliable service thank amazone best buying experience
3,cost considered bought really cheap le not remember respect price accept not product see quality also not carry lot item may not handle regular use college use school not recommended need carry lot thing light weight size also not recommended carry laptop cloth make delicate not provide kind padding lot pocket first compartment great use thinking buy bag would recommend put little amount money buy better one one sold market logo american tuorister nothing strength weight cost
3,average average
3,not happy product material used inner partition inferior quality used month net pocket tearing strap not sturdy shoulder start pain bag get heavy think bag duplicate one giving star timely delivery one star bag poor quality
3,bag little bit small shown figure delivered dissatisfied otherwise good quality material good bag lift weight upto good product must order product awesome bag little bit small shown figure
3,good product
3,get rate market although not happy okay not bad okay not bad
3,quality good suitable laptop not general use bought office carry lunch box item quality good suitable laptop
3,lite wait cloth quality nat good looking like american trurister copy front white color not looking good looking like copy pc
3,everything good bag material quality bag bad plz not buy bag quality material bad
3,print quality poor peeled within short time bag quality average quality
3,nice product nice product
3,pro big bag better price light weight con bag loses shape luggage filled clothes becomes pillow front zip one zip make entire compartment useless access thing zip opened completely edit look good even one year usage average
3,bag damaged product damaged
3,hanging part bag not striched quality issue
3,first impression decent product hoping american tourister last long decent product
3,price rain cover pouch hard rainy season not fit rainy season
3,first purchase better safari vip footloose comfortable not like footloose
3,separate shelf laptop okay product expecting premium quality
3,size le expectation size
3,quality zipper nice top layer peeling really sad bad looking good top layer easily peeled
3,photo bag bottle order bag please submit correct product submit correct order
3,good bag look like school bag college not expected good one
3,good better light waight not good
3,light weight material used not mark next back support stitching not comfortable rest inner lining good school bag perfect want travel bag must little better option good school bag
3,not good quality not fully waterproof quality
3,front fabric front fabric not good month many scratch look
2,bottle pocket ripped two month use not expect brand not good
2,not buy bag poor quality
2,
2,not good product worst material
2,strip broken first day worst product ever seen not outer apperance bad quality
2,not worth brand look like local brand spacious poor quality material poor quality
2,packaging product poor may duplicacy nothing
2,water get inside heavy rain book get wet water resistance
2,raincover not present rain cover
2,poor quality not value money
2,not good product offline market totally loss bad product
2,side carry pocket torn month zip not working right bag flimsy padding support bag big not worth poor material quality
2,thought polyester mater receiving knew not polyester like flex material hard one frankly not like bag
2,bag not make year son used ripped several place not good quality
2,precious bottle got slipped side strap bottle protection bag quality also not good easily available local market not worth literally
2,using brand since time not satisfied product quality totally backpack look cheap quality especially stitching using month stitch become damage also print quality cheap one please think buying tourister backpack think not genuine one
2,poor quality tore month use look duplicate not seem authentic not waste money poor substandard quality
2,product product
2,average not resist moisture rainy season average
2,ordered bag name american tourister good strong bag front design cheap poor single wash front design started loose stared coming mentioned water resistant telling not protect book copy single glass water want buy product please not rubbish bag front design cheap
2,product fake even logo side alphabet sticker fell fake product
2,amount much product poor material poor
2,poor quality poor quality
2,print got cracked one month totally waste money bad product
2,total wastage money poor stitch
2,colour mentioned pic slightly different not even quality bag not upto mark mean paying atleast durable month would rather buy local shop instead wasting buying branded bag simple word naam bade darshan chote day one came return pickup waste money quality pathetic quality bag
2,chain not mark average
2,used coaching bag not used school bag not durable carry heavy weight not book side bottle mess get torn first month totally unsatisfied quality not upto mark
2,water get inside easily not worth not water resistant
2,not great costly not great costly
2,not good per expectation worst
2,missing rain cover product bad experience missing part product
2,not good not good
2,like bag nice
2,size not expected zip not durable regular use not worthy money not buy daily office use size not expected
2,price higher quality not value money
2,low quality material product cheap quality
2,good good
2,quality not good
2,received damaged item check properly using not bad
2,not bad
2,imprint american tourister peeled within day buying look not going last bag got wet rain imprint came bag good quality though apart bad quality printing name imprint american tourister peeled day
2,quality not good also response amazon return
2,like product discounting price company avoiding accessory mentioned product rain cover not recieve replaced bag still got bag without rain cover cheap trick company rain cover missing
2,ordered bag look white part bag falling not like bag worsttttt worst
2,worst quality one not original local quality
2,got bag deal daily use month cloth started loosening got transparent would suggest not ideal monsoon trekking office quality compromised
2,want return one coming pick item not expected amazon not upto expectation
2,damaged product sent return damaged product
2,quality issue quality issue
2,product light weight worst package covid situation never seen kind nude packaging anyone middle use keep inside star okay quality timely delivery worst packaging covid period
2,though bag spacious good looking however material delicate material thin not worth buying
2,not carry laptop chance worst thing worst water resistance
2,quality bad not worth
2,rain bag cover mentioned description returning process taking long without information coming collecting bag look nice rain cover missing
2,not properly water resistant note book drenched water believing water resistance bad water resistance
2,brand thought would give something match brand value disappointment quality material used cheap even cloth used partition different section also thin personally not like product not match value brand
2,returned product worst product
2,not good quality quality poor
2,material seemed thin light sturdy bag haul heavy school book notebook not confident last long returned thin light material not feel sturdy
2,scratch mark
2,bag not hold full capacity lot space quality material like tear within one month load full capacity durability le low quality
2,product look like duplicate copy american tourister not good quality per price not buy worst product not good quality
2,like upper part rexin got tear zip safety
2,quality good quite small size small
2,better buy local shop inspecting quality made thin material not take heavy load number book required today class quality not good
2,not good school bag not school
2,not like quality product week raise return request one turned till today nothing
2,light weight good book laptop compartment not provided laptop compartment not provided
2,could better quality product quality not upto mark
2,quality not good waste money
2,rain cover bag however listed product image quite fraudulent rain bag missing
2,nice
2,not good quality price range quality not good not look premium quality not good
2,bag might look good not last price brand tag bag paper thin stitch not hold
2,cheaper work according quality not american tourist bag want return
2,american tourism name not type bag quality not good waiting light fabric thin local indian bag market good made china bad american tourism name not type bag quality not good
2,third class print front pocket within day starting feel bag fabric soo worst experience third class bag
2,not worth money cheap quality looking good received like rubbish quality thanks amazon future not recommendation anyone buy online like product bad quality
2,product not good please take return soon possible quality not good
2,yes not find bottle rain cover
2,joke name american tourister bag want carry symbol brand fine otherwise quality nothing want experience rest investing money jai hind
2,quality not upto mark lite usage actually bought college purpose look feel like lower quality plastic bag not upto american tourister brand expectation lite usage
2,quality bag cheap like throw away plastic chain also rough light weight not believe not laptop area cheap quality product
2,product costly quality not mark costly quality
2,not worthy decorated quality
2,different style product size
2,waste money not waterproof also not ideal student
2,not good not good
2,product quality not good good school not good college office
2,month buying bottle holder torn not enough space inside quality not good
2,got product great indian sale nice product light weight water resistant not water proof use travel tour bought use school bag not much quality withstand quality much lower expected thought return decided use travel bag good packaging use travel bag
2,awesome design colour superb quality superb quality
2,not like low quality size returned tiny little school bag
2,bag quality issue small small
2,sale around indian rupee worthy price not buy not worth also not original better not buy duplcate product not worthy duplicate brand
2,quality not good not good
2,not find interesting thing bag not good one
2,brand name like not expected quality like bad experience quality material poor
2,stitch come water bottle keeping area fully torn avail warranty
1,bag bought outlet luckily able compare material quality not even worth even bottle mash made plastic break month not buy product seller buy outlet not original american tourister
1,laptop compartment pouch video say keep laptop separate space like bag quality jus not great disappointing laptop space
1,waste money finished within day use might fake stuff amazon renowned probably fake stuff
1,used american tourister many time even backpack suitcase brand puchased online first time not expected puchasing product offer not mean thw quality depends money paid high expectation american tourister
1,purchased bagpack back february high hope owning reliable durable product however experience nothing short disappointing month limited usage noticed several issue not occurred firstly bottle holder mesh essential feature unexpectedly tore apart not put excessive weight strain used occasionally additionally zip chain came leaving bag content vulnerable causing inconvenience surprise not even use bag daily basis yet still encountered numerous problem expected better quality craftsmanship brand like american tourister known reputation assurance providing reliable product regrettably not read review purchasing product understand importance hope review serf warning others might considering purchasing item simply not live promise not recommend anyone disappointing quality durability poor quality
1,small quality not wrost product
1,not happy quality not seems american tourister poor quality
1,quality not good worst product seems like fake one not buy cheap quality product
1,damage one time use going brother bag left site damage
1,compartment keep laptop weird not standard design look
1,quality stuff bad bad product
1,product big school bag also not returning product despite multiple follow ups not recommended big amazon not arranging return
1,low material quality jip also not comfortable stitching
1,play video material used bad packing also not done would never trust anyone not buy quality bad
1,bought bag around month ago single month bag started losing threds one stripe totally tore tried claim warranty bag every store said bag year old model production stopped year ago selling amazon flipcart minimal price see bottle holder made net used old bag new bag american tourister not give met bottle holder give whole cloth waterproofing bag worst drop rain fell destroyed whole book even wore bag raincoat option zero star would loved give not even worth buy offline bag want buy american tourister previously used bag still working condition using year please not buy bag
1,not per american bag
1,product room laptop seclusion besides not good worst product
1,average price bag within month stitching open not much used happened not buy
1,not understand original product month bag side water bottle pocket got damaged side get warranty service replacement getting damage side pocket
1,third class product not buy cheap coverage worst
1,quality bag worst use within base get teared foam get strongly suggest not buy bag bag footpath better quality worst quality
1,laughed buying product quality would suggest not buy quality worst
1,mentioned picture rain bag cover
1,product not original duplicate
1,mentioned bag rain cover not rain cover kindly take necessary action needful else take legal action fake advertisement amazon rain cover bag
1,bottle net torn month amazon not provide support replacement need make effort authorised show room charge difference money replacement get approved model not get available authorised show room hence not buy product thru amazon product torn soon
1,fake product fake not buy
1,packing like copy product
1,bottle holder net tearing not even month also small school going child bad quality
1,bottle space bad not stable bottle space bottle space
1,poorest quality ever seen cheating american tourister name
1,worst product service plz not buy product amazon site worst product service
1,dislike duplicate product worst quality
1,month water bottle net damage bad quality poor quality
1,not buy poor product quality
1,totally waste money
1,quality gone side pocket already got torn damaged putting water bottle not lasting even week pocket already torn use week
1,poor quality seems like paper easily torn bag dmart far better dmart bag better
1,not american tourister bag duplicate local copy bad
1,not water resistant not water resistant
1,not good carrying school book bought month back already side water bottle holder teared apart not happy product american tourister not know original not good quality
1,worst quality product not buy
1,space worst bag
1,look like old bag completely damaged received completely damaged bag
1,dislike worst quality
1,not like item material bad
1,bag material delicate thin sponge padding not good overall product not upto mark quality material
1,product quality extremely bad inner material bag torn one month not able exchange return product worst experience amazon worst quality product
1,not value money waste money
1,low quality product low quality product
1,not original product american tourister low quality material worst fake quality product
1,torn month quality not good especially near base bag quality not good
1,used product please pick order return bag
1,bad product bod product
1,not like want return low quality product
1,dislike packing one plastic bag light weight
1,disappointed product look good new cheap quality dominates day use duplicate american tourister
1,bad item not good quality
1,totally waste money worst purchase
1,bag harassed frustated first use zipper damaged not close bag consider pack bag carefully zipper protected crush travel disturbed use bad zipper daaged transport
1,chain material bad quality bad quality
1,quality double full thin plastic bag not think last long thin material
1,not worth amount torn couple week delicate not worth
1,one parchese bqd product bad product
1,bag material got torn month not think product original poor quality
1,not buy product quality not good
1,initially bag good passage time continuous usage bottom bag started deteriorating year month started tearing hand son using school bag skybags bought big bazaar still good condition despite rough usage usually kid comparing bag arrived conclusion either bag sold amazon duplicate product low quality specially manufactured selling ecommerce website not case arrived conclusion year experience within period purchased handbag lavie caprese etc bag started deteriorating passage one year duplicate low quality product sold amazon
1,product not good white paint outside scratched day looking like year old product not happy purchase poor quality
1,design front came day would not recommend anyone design came
1,sending item please check zip struck like used bag fully stain bad service
1,bag seems okay price cloth quality cheap thin stitching okay heavy weight bag surely tear not usable longer run made carry light material maybe clothes book laptop charger nothing sort carried due flimsy tearable build quality not recommended school bag stay away look elsewhere okay
1,delivered damaged product torned strap poor quality not impressed disappointed
1,faded color bad quality bad experience backpack
1,dislike bad product waste money not gooda cloth
1,bad quality not buy broken within month bad
1,poor quality not expected review
1,
1,bag come international warranty year started cracking upper skin within month poor quality bag
1,want exchange poor quality exchange amazon
1,received torn damaged bag entire part front zipline dilapidated condition although came tag bag light quality pretty cheap getting frequent thing amazon seems least bothered take action seller dupe consumer cheap degraded quality product
1,dislike bad
1,nice amsome product nice request make fast delivery good product
1,stiches came within day point paying premium bad quality request amazon arrange return per description one year warranty product return window close day date delivery not sure whether replacement provided careful buying product stitch came within day
1,american tourister encashing brand image sell poor quality product online tear developed bag clearly see poor material used bottom base bag used bag moderately month approx kg weight sharp edge mostly water bottle notebook doubt bag used child carry school book would not difficult assume could last even month also american tourister customer support not responsive not even bother reply update american tourister respond second attempt agreed replace item however actually greater headache service center bag replaced buy new bag keeping covid mind poor quality product
1,purchased product december bottle holder side teared within month american tourister reputed brand not expected pathetic kid not carry waterbottle anymore bag become useless please avoid buying specific model poor quality not expected brand
1,disappointed bag cheap material bag laptop rain cover miss chain low quality cheap material bag
1,complete waste money bag torned within month time claiming warranty response get call another number waste money
1,worst product baught price mistake worst part trying return since last day one coming pick scheduled time pick one coming amazon not returning money price low product quality not good
1,product poor quality price high poor quality
1,use bag design got scratched looking bad bad quality want return amazon help bad quality
1,bad product zip not working properly damage soon purchase zip bad quality
1,not upto mark quality poor bag
1,submitted request twice return low quality beg person not came get back beg resolve problem disappointed service amazon return beg
1,cheap bad quality
1,please change replace product quality poor wash condition
1,would given zero star product not original first not worth money recommend not buy first copy product not original one
1,nothing put heavier zip front front chain not good
1,bad quality not good useless school food buy not look photo bad
1,poor quality please not buy low quality
1,thought brand good let buy product quality worst within two month internal material remove cloath also start tearing not expect company not waste money product
4,best office use good product good price
4,good quality product dimension not comfortable wear shoulder bag suggest make cushion bit better good quality
4,bag good appealing many pouch store stuff laptop section segregated pouch slide suitable storing bug slightly heavier may due good quality material good quality bag slightly heavy
4,expected not bulky bag bulky
4,good quality actually dark gray not light gray shown picture good quality different color
5,bought product regular office use experience good bag spacious enough room laptop accessory also room small lunch box material light weighted look classy changing shoulder bag bagpack awesome addon surely recommend office personal stylish spacious strudy
4,nice daily office college use
4,bag look good quality end point belt not good quality
5,every aspect designed day life quality compartment zip excellent carry travel bag laptop bag pro executive bag quality design
5,great bag quality not compromised anything briefcase backpack required ample pocket space great bag
5,love bag really nice design well made look trendy different mass produced bag would great material subjected water proofing unique beautiful
5,material finishing good look classy cushioning laptop adequate little bit expensive price tag good quality product little bit expensive
5,good product good
5,used month material finishing ease use good worthy product hat designer good quality product
5,material good useful shooting makeup bag shooting makeup bag
3,play video like material zipper quality dislike image shown picture spacious talk space putting laptop small diary book like catalog feel like tourist bag not carry else feel bag torn apart minute carry much stuff not comfortable daily work use travel well not easy use carry daily travel occasionally way stitching quality somehow make feel like going torn apart carrying extra weight not feel backpack personal experience recommendation not meanwhile budget either branded backpack add extra buck budget hammonds flycatcher leather bag not worth buying
